size,VertexIndex,X_mean,X_std,X_min,X_max,Y_mean,Y_std,Y_min,Y_max,Z_mean,Z_std,Z_min,Z_max,Std_Combined
L,11,-0.25552942779931154,0.006502986182811673,-0.2695830166339874,-0.2393440008163452,-0.001544318212704197,0.0020855637505027306,-0.0067059993743896,0.0034620016813278,0.13791593611240383,0.00836552324011542,0.1189659982919693,0.1548610031604766,0.010799091838305745
L,12,-0.258955653282729,0.007084073546230562,-0.2734770178794861,-0.241467997431755,-0.027265818264674013,0.0025603716015035506,-0.0337879993021488,-0.0224569998681545,0.12226142734289167,0.007750343410494964,0.1042660027742385,0.1377429962158203,0.01080774831899745
L,13,-0.26808053458278824,0.008007581257986824,-0.284839004278183,-0.247975006699562,-0.03459152745252301,0.002956729663840283,-0.0424319989979267,-0.0289629995822906,0.12694930048151445,0.007968082378336086,0.108144000172615,0.1429879963397979,0.011677069182643605
L,14,-0.23931558972055259,0.0056524923672878515,-0.2508659958839416,-0.2250040024518966,-0.05273958183825011,0.00337516306613596,-0.0603669993579387,-0.0463640019297599,0.06598863622004332,0.0027895919330386803,0.0584600009024143,0.0716550052165985,0.007150120197460333
L,15,-0.22683043547651982,0.0053505900443494,-0.2376230061054229,-0.2133800089359283,-0.04509776373478495,0.003307618854407401,-0.0523939989507198,-0.0381949990987777,0.06262275454672896,0.0027165680807582195,0.0551670007407665,0.0682760030031204,0.006851926622937278
L,16,-0.2239879629828713,0.005085611312298802,-0.234355017542839,-0.2110719978809356,-0.047604027458212544,0.0037161591582323254,-0.0556389987468719,-0.0398970022797584,0.048709936236793296,0.0015327493567642173,0.0445570014417171,0.0513800010085105,0.0064824842382960445
L,17,-0.2347888257015835,0.00541569234905639,-0.2458990067243576,-0.2209630012512207,-0.05453867306086145,0.0036507761151222027,-0.0626939982175827,-0.0475020036101341,0.05077018192545929,0.0015819598355273786,0.0466600023210048,0.0533750019967556,0.006720155264842956
L,18,-0.26354638879949394,0.0057857147834896585,-0.2756789922714233,-0.2486560046672821,-0.04793230921707365,0.0037517711797976972,-0.0559559985995292,-0.0405819974839687,0.0013881730762394914,0.004892303940217062,-0.0098500028252601,0.0107220038771629,0.0084548755392918
L,19,-0.2510443186218088,0.005669438809123573,-0.2628740072250366,-0.2365200072526931,-0.04304283633828159,0.003713994698473213,-0.05069600045681,-0.0357489995658397,0.006423854624683165,0.004715979688795556,-0.0044189989566802,0.0155469998717308,0.008256921790583696
L,20,-0.25280249078165395,0.0055962612042666044,-0.2645000219345093,-0.2385060042142868,-0.03414731838486407,0.0035490528552524704,-0.0413080006837844,-0.0271569993346929,0.002517190778797304,0.004773836491995119,-0.0083399936556816,0.0116750001907348,0.008167216814071945
